Kilométrage,Année,Boite de vitesses,Carburant,Puissance fiscale,Nombre de portes,Première main,Véhicule dédouané,Importé neuf,Marque et Modèle,Prix
49000,2018,1,0,8,5,1,2019,0,375000.0,375000.0
78000,2019,0,0,6,5,1,2019,0,131372.3404255319,125000.0
3000,2022,1,1,7,5,1,2019,0,150000.0,150000.0
107000,2015,0,0,7,5,0,2019,1,123000.0,123000.0
49000,2020,1,0,8,5,0,2020,0,315000.0,315000.0
49000,2020,1,0,8,5,0,2020,0,315000.0,315000.0
44000,2022,0,0,6,5,1,2022,0,186450.0,190000.0
44000,2022,0,0,6,5,1,2022,0,186450.0,190000.0
54000,2021,1,1,8,5,0,2021,0,213170.73170731709,199000.0
54000,2021,1,1,8,5,0,2021,0,213170.73170731709,199000.0
130000,2022,1,0,6,5,1,2019,0,197754.83870967742,215000.0
130000,2022,1,0,6,5,1,2019,0,197754.83870967742,215000.0
12200,2024,1,0,6,5,1,2019,0,295000.0,295000.0
67000,2016,1,0,8,5,1,2019,0,291659.6769823789,283000.0
50000,2022,1,0,6,5,1,2019,0,182500.0,210000.0
105000,2017,0,0,8,5,1,2019,0,269992.44444444444,238000.0
77760,2019,1,0,9,5,1,2019,0,320000.0,320000.0
39000,2023,0,1,6,5,1,2023,0,114831.21621621621,110000.0
49000,2023,0,0,6,5,1,2023,0,128454.54545454546,172000.0
84000,2021,1,0,6,5,1,2021,0,177135.59322033898,273000.0
49000,2022,0,1,6,5,1,2022,0,76127.27272727272,116000.0
49000,2019,1,2,10,5,0,2019,0,125492.06349206349,205000.0
54000,2022,0,1,6,5,1,2022,0,76127.27272727272,116000.0
109000,2019,1,0,8,5,1,2019,0,252716.53543307088,219000.0
119000,2020,0,1,6,5,1,2020,0,107608.1081081081,98000.0
94000,2019,1,0,6,5,1,2019,0,170887.37837837837,219000.0
32000,2020,1,2,9,5,0,2019,0,109432.43243243243,150000.0
32000,2020,1,2,9,5,0,2019,0,137200.0,150000.0
32000,2020,1,2,9,5,0,2019,0,137200.0,150000.0
54000,2020,1,0,8,5,0,2020,0,175017.22413793104,255000.0
54000,2020,1,0,8,5,0,2020,0,175017.22413793104,255000.0
74000,2022,1,0,6,5,0,2022,0,192100.0,219000.0
74000,2022,1,0,6,5,0,2022,0,192100.0,219000.0
129000,2019,1,0,10,5,0,2019,0,364235.17647058825,382000.0
129000,2019,1,0,10,5,0,2019,0,364235.17647058825,382000.0
81000,2017,0,0,6,5,0,2019,0,206752.688172043,155000.0
81000,2017,0,0,6,5,0,2019,0,206752.688172043,155000.0
146500,2018,1,0,6,5,0,2019,0,250000.0,250000.0
98000,2021,1,0,8,5,0,2019,0,291659.6769823789,253000.0
199000,2014,0,1,11,5,1,2018,0,291659.6769823789,95000.0
98000,2018,1,0,6,5,0,2019,0,200000.0,200000.0
49000,2022,1,1,8,5,0,2022,0,170887.37837837837,280000.0
59000,2017,0,1,9,3,1,2017,0,147714.2857142857,172000.0
99000,2021,1,0,8,5,1,2021,0,270000.0,345000.0
149000,2020,1,0,8,5,1,2020,0,291659.6769823789,320000.0
109000,2018,1,0,8,5,1,2018,0,291659.6769823789,315000.0
54000,2022,1,1,7,3,1,2022,0,132614.13043478262,135000.0
129000,2019,1,0,8,3,1,2019,0,320883.72093023255,315000.0
32000,2018,1,0,11,2,1,2019,0,334181.8181818182,340000.0
32000,2018,1,0,11,2,1,2019,0,334181.8181818182,340000.0
14000,2024,1,1,7,3,1,2024,0,132614.13043478262,159000.0
14000,2024,1,1,7,3,1,2024,0,132614.13043478262,159000.0
49000,2024,1,1,7,5,1,2024,0,176200.0,175000.0
49000,2024,1,1,7,5,1,2024,0,176200.0,175000.0
69000,2018,1,0,8,5,0,2018,0,386842.1052631579,405000.0
69000,2018,1,0,8,5,0,2018,0,386842.1052631579,405000.0
299000,2014,1,0,8,5,1,2014,0,137000.0,137000.0
299000,2014,1,0,8,5,1,2014,0,137000.0,137000.0
39000,2022,0,0,6,5,0,2022,0,165500.0,165000.0
39000,2022,0,0,6,5,0,2022,0,165500.0,165000.0
59000,2022,1,0,8,5,1,2022,0,222478.26086956522,280000.0
59000,2022,1,0,8,5,1,2022,0,222478.26086956522,280000.0
119000,2016,1,0,8,5,1,2016,0,226282.76811594202,335000.0
139000,2021,0,0,5,5,0,2021,0,126513.51351351352,114000.0
249000,2014,0,0,6,5,0,2014,0,111908.45070422535,125000.0
79000,2018,0,0,6,5,0,2018,0,125492.06349206349,155000.0
34000,2022,0,0,6,5,1,2022,0,209916.66666666666,210000.0
57000,2021,1,0,8,5,1,2019,1,291659.6769823789,440000.0
4000,2024,1,1,8,5,0,2024,0,188555.55555555556,239000.0
57000,2021,1,0,8,5,1,2019,1,291659.6769823789,440000.0
4000,2024,1,1,8,5,0,2024,0,188555.55555555556,239000.0
24000,2024,1,1,7,5,1,2024,0,291659.6769823789,162000.0
24000,2023,1,0,9,3,1,2023,0,291659.6769823789,349000.0
44000,2022,1,0,6,5,1,2022,0,226148.11111111112,359000.0
4000,2024,1,0,6,5,0,2024,0,291659.6769823789,337000.0
19000,2022,1,0,8,5,1,2022,0,252716.53543307088,295000.0
24000,2024,1,1,7,3,0,2024,0,132614.13043478262,159000.0
119000,2021,0,0,6,5,0,2021,0,114831.21621621621,138000.0
29000,2020,1,2,9,5,0,2020,0,109432.43243243243,162000.0
64000,2022,1,0,8,5,1,2022,0,252716.53543307088,310000.0
54000,2019,1,1,10,5,1,2019,0,224050.0,197000.0
54000,2019,1,1,10,5,1,2019,0,224050.0,197000.0
109000,2021,1,0,6,5,1,2021,0,248083.33333333334,229000.0
109000,2021,1,0,6,5,1,2021,0,248083.33333333334,229000.0
99000,2021,1,0,9,5,1,2021,0,183562.4375,242000.0
8600,2023,1,1,7,3,1,2019,0,291659.6769823789,150000.0
79000,2018,1,0,8,5,0,2018,0,291659.6769823789,325000.0
64000,2021,1,2,10,5,1,2021,0,125492.06349206349,205000.0
149000,2017,1,0,8,5,0,2017,0,298229.85135135136,299000.0
109000,2022,1,2,10,5,0,2022,0,125492.06349206349,199000.0
119000,2020,1,0,6,5,0,2020,0,128591.30434782608,179000.0
119000,2021,1,0,8,5,0,2021,0,252716.53543307088,305000.0
54000,2020,1,0,8,5,0,2020,0,175017.22413793104,255000.0
159000,2019,1,0,8,5,0,2019,0,570307.6923076923,340000.0
159000,2019,1,0,8,5,0,2019,0,570307.6923076923,340000.0
79000,2012,0,1,6,5,1,2019,0,81698.86363636363,63000.0
79000,2012,0,1,6,5,1,2019,0,81698.86363636363,63000.0
69000,2018,1,2,11,5,1,2018,0,311222.22222222225,345000.0
